epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1808.8,0.31691,0.35853,0.21605,0.90473,0.99919,1,0.995,0.98338,0.99919,1,0.995,0.98895,0.2497,0.29571,0.2058,0.83005,0.0013136,0.0013136,0.0013136
106,1821.6,0.32721,0.36019,0.21881,0.90615,0.99947,1,0.995,0.98454,0.99947,1,0.995,0.99196,0.22827,0.28542,0.184,0.81672,0.001307,0.001307,0.001307
107,1838.2,0.29679,0.32853,0.20301,0.90923,0.99964,1,0.995,0.98931,0.99964,1,0.995,0.99134,0.22557,0.28637,0.17541,0.80779,0.0013004,0.0013004,0.0013004
108,1855.85,0.30122,0.33159,0.20184,0.9081,0.99926,1,0.995,0.99108,0.99926,1,0.995,0.99319,0.22234,0.29297,0.17434,0.80619,0.0012938,0.0012938,0.0012938
109,1874.12,0.30519,0.35411,0.21245,0.90113,0.99967,1,0.995,0.98647,0.99967,1,0.995,0.99261,0.23653,0.28747,0.1803,0.82063,0.0012872,0.0012872,0.0012872
110,1888.52,0.31447,0.35739,0.21832,0.90838,0.99967,1,0.995,0.98401,0.99967,1,0.995,0.99307,0.23738,0.28101,0.17189,0.82148,0.0012806,0.0012806,0.0012806
111,1904.1,0.31494,0.36605,0.21855,0.90336,0.99968,1,0.995,0.98037,0.99968,1,0.995,0.9911,0.25115,0.29457,0.18668,0.82875,0.001274,0.001274,0.001274
112,1922.13,0.30851,0.35469,0.2169,0.91039,0.99963,1,0.995,0.98147,0.99963,1,0.995,0.99099,0.21738,0.28907,0.16929,0.80759,0.0012674,0.0012674,0.0012674
113,1935.82,0.31077,0.35873,0.21858,0.91225,0.99917,1,0.995,0.98603,0.99917,1,0.995,0.99234,0.22577,0.28326,0.16938,0.80808,0.0012608,0.0012608,0.0012608
114,1953.6,0.3006,0.38785,0.20871,0.90294,0.99785,1,0.995,0.98358,0.99785,1,0.995,0.99027,0.22433,0.28431,0.1636,0.81242,0.0012542,0.0012542,0.0012542
115,1966.94,0.30359,0.34426,0.21637,0.90516,0.99747,1,0.995,0.97849,0.99747,1,0.995,0.99179,0.24563,0.28981,0.18062,0.82474,0.0012476,0.0012476,0.0012476
116,1983.96,0.30277,0.35661,0.21363,0.90237,0.99963,1,0.995,0.98326,0.99963,1,0.995,0.99042,0.25106,0.296,0.17554,0.83142,0.001241,0.001241,0.001241
117,1998.71,0.30951,0.3558,0.21559,0.9054,0.9987,1,0.995,0.98251,0.9987,1,0.995,0.99157,0.23701,0.29748,0.18452,0.81819,0.0012344,0.0012344,0.0012344
118,2019.94,0.30864,0.36712,0.22593,0.90596,0.99964,1,0.995,0.97449,0.99964,1,0.995,0.99161,0.25133,0.30054,0.18042,0.82608,0.0012278,0.0012278,0.0012278
119,2038.4,0.29612,0.34601,0.2112,0.90231,0.99955,1,0.995,0.97692,0.99955,1,0.995,0.98991,0.2409,0.28818,0.17114,0.82439,0.0012212,0.0012212,0.0012212
120,2056.93,0.31664,0.35298,0.21564,0.91727,0.99963,1,0.995,0.98403,0.99963,1,0.995,0.98891,0.222,0.29565,0.17279,0.80883,0.0012146,0.0012146,0.0012146
121,2075.75,0.32161,0.35914,0.22411,0.91488,0.99964,1,0.995,0.98417,0.99964,1,0.995,0.99105,0.21539,0.28737,0.17259,0.80121,0.001208,0.001208,0.001208
122,2098.91,0.30297,0.33456,0.20915,0.90573,0.999,1,0.995,0.98486,0.999,1,0.995,0.99205,0.23562,0.28455,0.17882,0.81555,0.0012014,0.0012014,0.0012014
123,2118.24,0.31772,0.33496,0.21549,0.90908,0.99899,1,0.995,0.9875,0.99899,1,0.995,0.99046,0.21511,0.30332,0.16497,0.80585,0.0011948,0.0011948,0.0011948
124,2138.68,0.28761,0.33652,0.20009,0.89725,0.97672,1,0.99489,0.98553,0.97672,1,0.99489,0.99051,0.22221,0.28617,0.16091,0.8098,0.0011882,0.0011882,0.0011882
125,2156.29,0.3197,0.34367,0.21369,0.91046,0.99377,1,0.995,0.98675,0.99377,1,0.995,0.99029,0.22134,0.28386,0.15924,0.81063,0.0011816,0.0011816,0.0011816
126,2173.83,0.31013,0.34133,0.2144,0.90409,0.99416,0.97799,0.99483,0.98924,0.99416,0.97799,0.99483,0.99271,0.20069,0.2817,0.15199,0.7971,0.001175,0.001175,0.001175
127,2186.73,0.29418,0.32676,0.20269,0.90028,0.99962,1,0.995,0.98661,0.99962,1,0.995,0.99134,0.21209,0.27987,0.15966,0.79959,0.0011684,0.0011684,0.0011684
128,2204.68,0.312,0.36871,0.20855,0.9045,0.99968,1,0.995,0.98647,0.99968,1,0.995,0.99165,0.23008,0.289,0.16047,0.81327,0.0011618,0.0011618,0.0011618
129,2218.8,0.30178,0.33975,0.20419,0.90606,0.99962,1,0.995,0.98415,0.99962,1,0.995,0.99031,0.23352,0.29568,0.17078,0.82044,0.0011552,0.0011552,0.0011552
130,2235.88,0.30107,0.33387,0.20645,0.9027,0.99967,1,0.995,0.98242,0.99967,1,0.995,0.99024,0.21426,0.27698,0.14866,0.80644,0.0011486,0.0011486,0.0011486
131,2249.99,0.29369,0.3144,0.1958,0.89561,0.99967,1,0.995,0.98347,0.99967,1,0.995,0.9908,0.2072,0.27814,0.14855,0.80195,0.001142,0.001142,0.001142
132,2271.38,0.2978,0.3469,0.20602,0.90252,0.99968,1,0.995,0.98161,0.99968,1,0.995,0.99057,0.23358,0.28666,0.15278,0.81599,0.0011354,0.0011354,0.0011354
133,2291.59,0.28962,0.32694,0.20093,0.89916,0.99907,1,0.995,0.98888,0.99907,1,0.995,0.99237,0.21148,0.28382,0.15057,0.80613,0.0011288,0.0011288,0.0011288
134,2312.88,0.29164,0.34795,0.19907,0.90425,0.99398,1,0.995,0.98254,0.99398,1,0.995,0.98867,0.23492,0.30226,0.1713,0.81638,0.0011222,0.0011222,0.0011222
135,2330.2,0.29682,0.3512,0.19995,0.9024,0.99918,1,0.995,0.98754,0.99918,1,0.995,0.99037,0.20431,0.29373,0.14577,0.79272,0.0011156,0.0011156,0.0011156
136,2346.83,0.29714,0.36575,0.19965,0.91439,0.99968,1,0.995,0.98369,0.99968,1,0.995,0.99108,0.22353,0.28026,0.15191,0.81084,0.001109,0.001109,0.001109
137,2361.73,0.28916,0.32881,0.20148,0.90365,0.99967,1,0.995,0.98057,0.99967,1,0.995,0.99275,0.24937,0.28872,0.18731,0.83993,0.0011024,0.0011024,0.0011024
